10000 20000
1 72 13
2 50 10
3 79 96
4 92 31
5 8 12
6 68 97
7 14 58
8 31 20
9 52 59
10 62 70
11 15 27
12 24 40
13 84 87
14 96 30
15 37 38
16 66 38
17 34 4
18 93 76
19 55 70
20 99 21
21 41 52
22 23 87
23 83 75
24 88 80
25 7 1
26 26 34
27 85 100
28 43 75
29 15 74
30 51 11
31 18 62
32 26 95
33 1 89
34 86 35
35 62 61
36 59 3
37 39 95
38 19 66
39 68 100
40 70 22
41 97 89
42 25 55
43 14 10
44 97 100
45 92 49
46 85 99
47 82 54
48 11 76
49 53 58
50 71 83
51 25 33
52 86 8
53 47 97
54 92 1
55 1 6
56 22 40
57 50 52
58 18 34
59 50 64
60 71 38
61 24 16
62 32 78
63 70 13
64 72 14
65 69 22
66 49 56
67 1 52
68 42 100
69 88 47
70 81 35
71 51 4
72 58 49
73 96 14
74 14 100
75 19 55
76 58 33
77 95 23
78 19 68
79 9 22
80 64 51
81 94 45
82 14 20
83 1 52
84 64 49
85 62 86
86 75 97
87 94 75
88 27 38
89 26 48
90 79 63
91 12 46
92 72 73
93 98 62
94 4 58
95 69 64
96 82 58
97 45 66
98 11 15
99 87 29
100 9 68
101 57 30
102 50 69
103 22 11
104 75 35
105 33 54
106 66 40
107 91 32
108 43 49
109 46 25
110 65 40
111 65 78
112 82 95
113 37 79
114 46 76
115 98 88
116 7 60
117 19 42
118 66 16
119 54 47
120 82 87
121 36 75
122 33 76
123 7 54
124 83 73
125 83 15
126 80 3
127 48 98
128 71 32
129 62 68
130 38 17
131 57 9
132 31 51
133 37 38
134 42 55
135 8 98
136 5 91
137 44 40
138 76 84
139 60 57
140 85 86
141 59 100
142 2 94
143 20 10
144 39 1
145 30 69
146 36 81
147 27 41
148 17 79
149 78 75
150 48 36
151 81 10
152 64 15
153 41 36
154 10 3
155 41 40
156 73 89
157 8 10
158 18 61
159 91 72
160 76 76
161 26 16
162 40 54
163 39 39
164 2 54
165 80 62
166 55 80
167 100 54
168 34 27
169 35 35
170 77 73
171 79 24
172 36 78
173 14 63
174 39 17
175 22 2
176 64 40
177 2 60
178 50 21
179 56 38
180 77 31
181 57 27
182 39 60
183 42 70
184 65 28
185 34 57
186 11 74
187 95 57
188 13 86
189 88 76
190 1 94
191 98 75
192 99 47
193 38 61
194 85 29
195 78 15
196 17 73
197 69 15
198 79 22
199 95 85
200 35 50
201 5 9
202 43 96
203 12 79
204 25 47
205 69 81
206 67 96
207 30 69
208 68 48
209 71 57
210 21 69
211 67 41
212 100 51
213 28 3
214 87 92
215 31 14
216 86 45
217 38 54
218 95 67
219 21 27
220 96 18
221 98 81
222 98 67
223 12 19
224 13 67
225 7 15
226 99 35
227 45 27
228 59 22
229 48 27
230 8 20
231 15 37
232 60 14
233 46 76
234 3 21
235 12 49
236 14 65
237 93 12
238 54 24
239 24 84
240 43 98
241 17 92
242 92 19
243 8 40
244 71 39
245 88 27
246 74 12
247 67 44
248 23 95
249 40 78
250 29 64
251 84 20
252 90 4
253 72 81
254 91 50
255 37 82
256 43 86
257 81 82
258 78 8
259 89 32
260 36 67
261 69 10
262 28 95
263 95 88
264 12 1
265 23 86
266 35 10
267 86 53
268 97 78
269 45 97
270 11 59
271 96 10
272 18 76
273 9 13
274 40 96
275 30 42
276 23 63
277 11 22
278 2 67
279 5 44
280 19 99
281 4 54
282 77 43
283 14 93
284 53 34
285 25 24
286 94 80
287 57 22
288 77 27
289 66 39
290 33 31
291 98 73
292 51 38
293 68 55
294 96 93
295 3 96
296 80 86
297 48 23
298 82 35
299 33 95
300 62 89
301 95 96
302 10 92
303 13 23
304 31 89
305 90 79
306 90 26
307 56 46
308 59 43
309 24 77
310 16 80
311 75 79
312 17 68
313 38 39
314 15 83
315 17 69
316 61 98
317 20 87
318 89 78
319 51 60
320 81 98
321 50 14
322 29 6
323 91 31
324 3 96
325 35 25
326 83 24
327 76 84
328 82 30
329 23 44
330 69 13
331 92 82
332 70 99
333 72 54
334 20 71
335 11 78
336 76 46
337 77 78
338 99 39
339 93 39
340 46 76
341 88 38
342 47 60
343 100 87
344 33 49
345 92 45
346 38 62
347 19 24
348 5 12
349 8 24
350 89 45
351 7 97
352 55 20
353 41 90
354 53 46
355 59 8
356 84 100
357 55 93
358 17 87
359 25 94
360 71 7
361 30 84
362 68 8
363 84 91
364 91 57
365 90 19
366 96 36
367 77 13
368 34 75
369 52 9
370 4 69
371 51 39
372 24 44
373 83 47
374 70 1
375 36 28
376 53 29
377 51 55
378 71 5
379 98 51
380 68 92
381 31 88
382 93 51
383 64 88
384 54 92
385 26 14
386 10 41
387 77 55
388 71 85
389 20 45
390 57 49
391 14 93
392 66 70
393 35 22
394 87 80
395 39 25
396 98 55
397 80 43
398 17 4
399 96 26
400 33 95
401 48 85
402 71 75
403 83 93
404 14 72
405 16 30
406 33 34
407 94 8
408 54 42
409 41 24
410 83 44
411 77 69
412 22 34
413 5 38
414 41 94
415 18 18
416 48 19
417 29 81
418 68 45
419 36 74
420 32 5
421 48 100
422 86 35
423 18 90
424 7 92
425 63 40
426 36 84
427 77 60
428 57 81
429 93 28
430 89 11
431 39 59
432 90 29
433 65 97
434 56 15
435 35 91
436 53 79
437 29 30
438 57 20
439 60 20
440 40 38
441 43 56
442 58 21
443 49 39
444 11 37
445 68 66
446 63 11
447 12 32
448 20 75
449 80 83
450 71 82
451 12 62
452 82 74
453 69 84
454 52 96
455 13 81
456 42 83
457 66 57
458 46 53
459 38 22
460 94 60
461 9 23
462 53 65
463 83 97
464 55 14
465 80 7
466 53 98
467 65 48
468 38 4
469 26 93
470 95 14
471 94 22
472 51 30
473 35 87
474 10 11
475 26 85
476 42 52
477 61 71
478 95 16
479 9 23
480 57 21
481 4 54
482 18 84
483 68 36
484 31 73
485 95 3
486 98 92
487 28 76
488 6 98
489 70 48
490 35 77
491 92 76
492 23 20
493 97 31
494 70 76
495 59 91
496 11 44
497 24 57
498 71 51
499 49 8
500 84 61
501 99 62
502 57 14
503 83 20
504 39 93
505 59 16
506 72 88
507 36 31
508 90 13
509 95 38
510 91 20
511 64 23
512 61 62
513 21 99
514 66 90
515 99 46
516 64 36
517 90 43
518 15 84
519 95 19
520 98 93
521 48 66
522 94 28
523 13 20
524 7 82
525 24 74
526 23 52
527 97 37
528 25 89
529 68 57
530 7 1
531 52 59
532 19 77
533 57 96
534 79 8
535 89 38
536 23 93
537 17 23
538 77 36
539 16 32
540 92 13
541 55 2
542 97 45
543 58 80
544 59 98
545 42 86
546 56 61
547 46 61
548 11 94
549 73 59
550 65 21
551 39 97
552 42 54
553 100 51
554 25 82
555 80 62
556 9 59
557 60 59
558 10 90
559 71 71
560 48 92
561 84 20
562 3 71
563 19 57
564 40 48
565 49 72
566 42 6
567 74 86
568 24 81
569 93 14
570 51 14
571 40 72
572 12 36
573 55 92
574 26 25
575 5 30
576 50 47
577 65 98
578 74 100
579 16 52
580 28 55
581 25 29
582 26 15
583 27 25
584 38 15
585 1 57
586 77 90
587 58 17
588 18 6
589 82 64
590 60 95
591 2 44
592 9 7
593 74 69
594 17 51
595 56 25
596 49 84
597 47 43
598 59 57
599 38 89
600 39 90
601 94 13
602 94 4
603 66 50
604 39 80
605 2 40
606 61 37
607 46 68
608 89 29
609 9 59
610 65 31
611 4 20
612 57 13
613 30 89
614 5 43
615 25 2
616 2 4
617 64 7
618 9 92
619 56 64
620 40 54
621 17 61
622 64 56
623 65 43
624 71 23
625 65 77
626 64 77
627 58 24
628 97 53
629 77 70
630 75 63
631 97 5
632 14 99
633 65 8
634 26 38
635 91 2
636 19 48
637 60 79
638 19 38
639 59 21
640 60 46
641 16 75
642 8 49
643 76 31
644 47 45
645 23 68
646 36 55
647 43 81
648 16 94
649 40 96
650 52 62
651 58 28
652 96 25
653 55 9
654 68 31
655 13 46
656 78 31
657 7 15
658 29 99
659 96 94
660 36 55
661 23 88
662 6 92
663 45 28
664 69 95
665 89 94
666 90 75
667 57 4
668 10 51
669 59 71
670 67 36
671 61 100
672 64 94
673 65 1
674 78 38
675 20 48
676 80 18
677 48 14
678 56 41
679 82 48
680 37 93
681 88 17
682 55 46
683 1 98
684 44 100
685 20 91
686 21 10
687 100 69
688 27 33
689 77 62
690 56 7
691 59 68
692 21 9
693 77 92
694 10 61
695 54 73
696 11 57
697 25 16
698 17 12
699 51 27
700 100 70
701 24 54
702 44 91
703 50 71
704 83 67
705 52 64
706 98 99
707 20 42
708 26 38
709 93 50
710 45 33
711 99 90
712 20 95
713 21 14
714 100 37
715 94 59
716 32 35
717 95 16
718 3 7
719 42 70
720 69 36
721 8 87
722 36 91
723 76 100
724 45 33
725 74 72
726 10 56
727 77 41
728 90 28
729 43 83
730 70 77
731 47 85
732 10 25
733 94 79
734 18 33
735 9 46
736 19 83
737 45 84
738 80 16
739 52 35
740 51 37
741 15 20
742 51 16
743 18 53
744 20 30
745 57 14
746 52 30
747 98 30
748 57 89
749 91 22
750 24 28
751 17 74
752 82 54
753 42 61
754 65 100
755 65 94
756 49 85
757 11 96
758 48 38
759 15 26
760 69 24
761 4 55
762 47 53
763 9 92
764 89 16
765 99 92
766 12 63
767 35 79
768 62 65
769 62 2
770 74 76
771 70 13
772 45 92
773 11 37
774 14 52
775 37 25
776 93 50
777 84 74
778 55 11
779 61 93
780 61 28
781 6 20
782 55 49
783 20 41
784 26 42
785 56 17
786 69 48
787 22 100
788 54 89
789 59 42
790 66 52
791 95 36
792 4 1
793 71 80
794 23 13
795 34 10
796 91 42
797 35 84
798 80 27
799 37 2
800 2 91
801 71 33
802 60 11
803 6 20
804 28 100
805 92 17
806 48 53
807 6 92
808 6 3
809 51 83
810 31 14
811 97 9
812 78 60
813 20 71
814 24 74
815 62 2
816 8 62
817 90 83
818 94 75
819 11 75
820 79 35
821 14 73
822 56 9
823 98 59
824 99 82
825 37 10
826 30 67
827 98 96
828 34 72
829 31 33
830 23 96
831 90 2
832 30 68
833 12 11
834 36 61
835 28 9
836 38 35
837 68 90
838 70 30
839 85 77
840 96 56
841 31 6
842 52 8
843 59 66
844 55 64
845 53 37
846 57 91
847 74 26
848 28 60
849 87 95
850 79 66
851 86 13
852 85 83
853 25 31
854 63 84
855 78 97
856 61 12
857 29 36
858 89 46
859 62 99
860 84 2
861 10 20
862 43 54
863 91 96
864 12 7
865 49 8
866 39 85
867 46 76
868 53 54
869 62 55
870 32 92
871 5 78
872 75 83
873 10 85
874 38 95
875 60 72
876 54 53
877 99 28
878 43 76
879 14 53
880 38 90
881 97 75
882 71 81
883 98 4
884 75 53
885 44 53
886 77 89
887 19 23
888 40 60
889 41 94
890 37 100
891 67 60
892 20 55
893 16 11
894 68 84
895 46 94
896 90 79
897 25 38
898 27 99
899 37 29
900 59 66
901 43 90
902 18 93
903 2 5
904 12 70
905 12 99
906 61 41
907 37 85
908 69 76
909 69 86
910 25 90
911 24 63
912 95 68
913 72 62
914 9 63
915 49 18
916 18 80
917 82 62
918 69 3
919 14 75
920 21 39
921 13 51
922 1 55
923 82 93
924 51 42
925 99 2
926 25 58
927 55 74
928 77 1
929 53 75
930 25 37
931 67 57
932 16 48
933 87 88
934 96 83
935 35 82
936 30 59
937 33 12
938 73 24
939 6 77
940 42 93
941 75 15
942 19 69
943 1 34
944 60 23
945 32 35
946 94 33
947 55 19
948 74 10
949 28 69
950 65 83
951 77 93
952 36 9
953 35 91
954 56 21
955 74 67
956 11 16
957 59 79
958 67 7
959 22 38
960 97 29
961 72 27
962 94 4
963 80 74
964 20 65
965 75 9
966 30 33
967 89 100
968 82 53
969 29 93
970 12 58
971 4 2
972 61 84
973 75 19
974 23 100
975 25 36
976 22 32
977 61 63
978 75 58
979 36 92
980 89 84
981 42 16
982 71 40
983 4 71
984 57 74
985 24 70
986 53 8
987 28 84
988 41 99
989 35 88
990 52 37
991 66 44
992 94 22
993 67 79
994 78 73
995 10 27
996 51 93
997 100 30
998 26 54
999 77 97
1000 64 97
1001 49 97
1002 65 53
1003 42 59
1004 1 88
1005 68 62
1006 82 58
1007 70 4
1008 7 30
1009 42 97
1010 28 48
1011 73 60
1012 99 12
1013 77 96
1014 7 49
1015 23 94
1016 74 35
1017 69 62
1018 60 88
1019 89 54
1020 8 88
1021 25 77
1022 8 99
1023 59 47
1024 21 77
1025 82 29
1026 3 30
1027 93 56
1028 89 30
1029 29 62
1030 34 24
1031 87 58
1032 47 1
1033 38 86
1034 45 37
1035 92 38
1036 44 70
1037 16 14
1038 51 7
1039 87 71
1040 18 28
1041 82 83
1042 19 90
1043 58 24
1044 23 4
1045 90 26
1046 93 61
1047 11 90
1048 22 45
1049 24 40
1050 76 17
1051 58 6
1052 80 27
1053 55 63
1054 14 59
1055 51 5
1056 61 64
1057 9 28
1058 57 20
1059 44 91
1060 39 88
1061 79 90
1062 45 83
1063 2 37
1064 97 10
1065 96 94
1066 14 29
1067 38 45
1068 84 33
1069 2 96
1070 44 15
1071 98 87
1072 61 4
1073 43 98
1074 10 42
1075 25 38
1076 6 73
1077 76 57
1078 32 76
1079 2 75
1080 13 4
1081 46 58
1082 58 50
1083 3 41
1084 53 16
1085 49 39
1086 30 5
1087 83 92
1088 96 94
1089 72 87
1090 57 28
1091 74 21
1092 63 15
1093 62 97
1094 5 13
1095 25 13
1096 1 86
1097 10 96
1098 43 3
1099 22 84
1100 30 14
1101 17 27
1102 77 41
1103 78 74
1104 12 40
1105 98 32
1106 5 63
1107 94 99
1108 16 65
1109 49 100
1110 50 90
1111 59 100
1112 24 29
1113 44 56
1114 89 10
1115 37 7
1116 37 49
1117 89 87
1118 15 27
1119 53 96
1120 72 18
1121 21 31
1122 54 11
1123 25 69
1124 3 33
1125 17 22
1126 62 21
1127 37 32
1128 13 76
1129 32 2
1130 6 8
1131 2 55
1132 82 27
1133 47 62
1134 44 5
1135 23 13
1136 88 31
1137 78 73
1138 8 39
1139 14 4
1140 9 77
1141 91 70
1142 73 77
1143 52 95
1144 85 57
1145 92 62
1146 70 6
1147 87 9
1148 35 3
1149 47 17
1150 80 30
1151 20 93
1152 96 41
1153 28 34
1154 31 93
1155 52 69
1156 38 93
1157 91 68
1158 67 29
1159 97 41
1160 64 45
1161 47 53
1162 93 58
1163 92 22
1164 80 84
1165 85 81
1166 7 49
1167 63 4
1168 24 21
1169 59 17
1170 19 80
1171 62 92
1172 63 3
1173 65 25
1174 53 68
1175 70 39
1176 13 61
1177 48 18
1178 29 4
1179 64 32
1180 87 32
1181 70 58
1182 95 41
1183 2 50
1184 70 12
1185 70 43
1186 9 4
1187 84 3
1188 92 82
1189 18 39
1190 24 41
1191 75 62
1192 56 1
1193 12 73
1194 14 1
1195 63 56
1196 94 57
1197 31 21
1198 60 21
1199 80 4
1200 36 23
1201 45 1
1202 21 51
1203 41 72
1204 98 53
1205 25 6
1206 68 93
1207 74 98
1208 18 38
1209 30 18
1210 22 76
1211 91 24
1212 25 3
1213 82 14
1214 81 38
1215 82 40
1216 36 83
1217 59 36
1218 92 27
1219 56 87
1220 78 23
1221 58 70
1222 12 85
1223 15 77
1224 97 28
1225 38 42
1226 71 83
1227 91 60
1228 30 44
1229 80 60
1230 60 49
1231 61 13
1232 63 74
1233 58 5
1234 86 1
1235 76 88
1236 43 58
1237 67 16
1238 16 39
1239 2 38
1240 9 11
1241 1 38
1242 18 11
1243 28 86
1244 75 91
1245 28 78
1246 9 12
1247 48 83
1248 97 6
1249 17 73
1250 89 6
1251 95 74
1252 8 19
1253 7 65
1254 23 86
1255 26 93
1256 42 83
1257 48 98
1258 50 14
1259 68 54
1260 15 57
1261 25 28
1262 33 76
1263 74 9
1264 11 57
1265 21 79
1266 39 55
1267 37 72
1268 90 54
1269 72 51
1270 58 46
1271 20 59
1272 50 76
1273 97 21
1274 47 19
1275 100 74
1276 10 53
1277 13 98
1278 41 43
1279 36 68
1280 68 37
1281 65 76
1282 42 14
1283 3 59
1284 72 64
1285 62 43
1286 7 51
1287 13 90
1288 12 63
1289 39 34
1290 88 86
1291 58 70
1292 84 65
1293 54 92
1294 82 88
1295 39 83
1296 56 45
1297 77 78
1298 97 14
1299 36 50
1300 7 24
1301 93 18
1302 80 47
1303 42 74
1304 94 20
1305 43 25
1306 92 56
1307 84 22
1308 58 16
1309 83 16
1310 27 17
1311 90 88
1312 42 2
1313 82 97
1314 92 89
1315 72 25
1316 50 73
1317 23 77
1318 42 14
1319 38 67
1320 98 70
1321 31 38
1322 63 79
1323 10 85
1324 19 21
1325 58 33
1326 42 62
1327 26 84
1328 89 13
1329 85 86
1330 86 64
1331 25 9
1332 63 53
1333 84 94
1334 100 43
1335 24 70
1336 76 87
1337 83 13
1338 66 35
1339 80 14
1340 26 29
1341 94 70
1342 84 17
1343 73 20
1344 14 91
1345 41 12
1346 69 16
1347 38 42
1348 36 48
1349 20 80
1350 61 76
1351 62 48
1352 85 35
1353 20 16
1354 99 52
1355 14 40
1356 97 13
1357 49 42
1358 13 50
1359 84 98
1360 93 62
1361 43 22
1362 66 54
1363 33 76
1364 73 63
1365 98 37
1366 17 15
1367 79 43
1368 16 65
1369 35 94
1370 99 43
1371 50 31
1372 6 28
1373 56 88
1374 76 80
1375 99 68
1376 32 92
1377 76 100
1378 71 79
1379 64 89
1380 73 88
1381 71 33
1382 97 10
1383 92 63
1384 2 42
1385 50 47
1386 17 57
1387 26 43
1388 33 55
1389 22 48
1390 49 36
1391 30 83
1392 85 76
1393 35 38
1394 9 23
1395 81 54
1396 81 42
1397 89 41
1398 37 87
1399 76 32
1400 46 68
1401 78 44
1402 2 85
1403 61 53
1404 24 85
1405 37 13
1406 57 35
1407 70 100
1408 17 88
1409 7 87
1410 68 72
1411 37 14
1412 11 19
1413 75 32
1414 39 92
1415 66 16
1416 7 40
1417 43 73
1418 51 5
1419 100 29
1420 86 59
1421 42 84
1422 66 14
1423 19 69
1424 41 72
1425 93 75
1426 15 17
1427 32 17
1428 57 23
1429 83 74
1430 65 59
1431 78 18
1432 50 58
1433 6 98
1434 87 62
1435 64 67
1436 57 57
1437 56 37
1438 79 29
1439 23 63
1440 31 86
1441 72 34
1442 78 31
1443 65 100
1444 16 52
1445 3 16
1446 47 11
1447 51 11
1448 18 33
1449 2 66
1450 79 28
1451 3 75
1452 95 65
1453 41 13
1454 62 12
1455 76 65
1456 89 64
1457 10 10
1458 21 99
1459 74 62
1460 32 92
1461 13 56
1462 50 3
1463 96 32
1464 17 34
1465 26 3
1466 26 55
1467 68 5
1468 47 89
1469 90 11
1470 93 4
1471 16 6
1472 6 56
1473 39 6
1474 49 55
1475 40 83
1476 9 97
1477 91 28
1478 13 80
1479 33 13
1480 13 65
1481 57 18
1482 63 66
1483 70 88
1484 29 98
1485 73 94
1486 23 13
1487 70 81
1488 84 19
1489 96 33
1490 97 13
1491 54 20
1492 53 39
1493 15 46
1494 37 22
1495 4 8
1496 18 94
1497 39 28
1498 99 33
1499 77 76
1500 38 52
1501 78 37
1502 53 51
1503 43 93
1504 47 93
1505 6 78
1506 27 94
1507 23 17
1508 80 8
1509 94 41
1510 1 17
1511 95 94
1512 20 84
1513 61 15
1514 41 98
1515 79 4
1516 73 34
1517 4 51
1518 53 96
1519 18 52
1520 38 77
1521 12 3
1522 46 29
1523 74 94
1524 30 81
1525 63 80
1526 88 45
1527 2 28
1528 94 100
1529 85 83
1530 63 69
1531 88 42
1532 32 32
1533 40 77
1534 4 18
1535 62 35
1536 33 60
1537 9 60
1538 51 49
1539 83 44
1540 5 48
1541 41 76
1542 76 75
1543 34 65
1544 13 26
1545 3 60
1546 50 80
1547 53 49
1548 75 58
1549 91 99
1550 12 61
1551 74 87
1552 35 100
1553 52 52
1554 20 8
1555 55 90
1556 46 6
1557 92 28
1558 24 82
1559 40 26
1560 24 67
1561 81 10
1562 7 25
1563 42 13
1564 56 1
1565 59 69
1566 13 19
1567 35 50
1568 92 6
1569 7 57
1570 44 48
1571 61 57
1572 72 56
1573 29 90
1574 81 86
1575 1 52
1576 65 65
1577 75 99
1578 34 2
1579 80 65
1580 11 60
1581 82 57
1582 78 79
1583 100 71
1584 45 40
1585 46 54
1586 14 9
1587 4 83
1588 82 98
1589 51 43
1590 60 72
1591 70 75
1592 80 74
1593 39 44
1594 4 52
1595 37 67
1596 49 42
1597 37 86
1598 86 67
1599 44 16
1600 81 89
1601 10 13
1602 61 23
1603 78 62
1604 43 72
1605 40 99
1606 22 21
1607 93 5
1608 7 54
1609 28 85
1610 10 55
1611 99 41
1612 32 47
1613 83 52
1614 19 91
1615 64 70
1616 29 54
1617 66 76
1618 75 43
1619 83 6
1620 54 5
1621 89 4
1622 92 95
